event_bits,evt_cmd_shoot_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,447100.0,0,3,2,50871,1,1017463,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50872,1,1017483,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50873,1,1017503,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50874,1,1017523,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50875,1,1017543,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50876,1,1017563,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50877,1,1017583,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50878,1,1017603,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50879,1,1017623,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50880,1,1017643,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50881,1,1017663,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50882,1,1017683,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50883,1,1017703,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50884,1,1017723,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50885,1,1017743,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50886,1,1017763,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50887,1,1017783,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50888,1,1017803,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50889,1,1017823,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50890,1,1017843,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50891,1,1017863,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50892,1,1017883,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50893,1,1017903,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50894,1,1017923,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50895,1,1017943,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50896,1,1017963,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50897,1,1017983,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50898,1,1018003,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50899,1,1018023,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50900,1,1018043,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50901,1,1018063,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50902,1,1018083,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50903,1,1018103,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50904,1,1018123,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50905,1,1018143,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50906,1,1018163,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50907,1,1018183,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50908,1,1018203,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50909,1,1018223,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50910,1,1018243,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,50911,1,1018263,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50912,1,1018283,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50913,1,1018303,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50914,1,1018323,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50915,1,1018343,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50916,1,1018363,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50917,1,1018383,0,0.0,0
1049344,0,1,1,1,447100.0,0,3,2,50918,1,1018403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50919,0,1018423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50920,0,1018443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50921,0,1018463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50922,0,1018483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50923,0,1018503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50924,0,1018523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50925,0,1018543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50926,0,1018563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50927,0,1018583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50928,0,1018603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50929,0,1018623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50930,0,1018643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50931,0,1018663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50932,0,1018683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50933,0,1018703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50934,0,1018723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50935,0,1018743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50936,0,1018763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50937,0,1018783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50938,0,1018803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50939,0,1018823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50940,0,1018843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50941,0,1018863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50942,0,1018883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50943,0,1018903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50944,0,1018923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50945,0,1018943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50946,0,1018963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50947,0,1018983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50948,0,1019003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50949,0,1019023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50950,0,1019043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50951,0,1019063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50952,0,1019083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50953,0,1019103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50954,0,1019123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50955,0,1019143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50956,0,1019163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50957,0,1019183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50958,0,1019203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50959,0,1019223,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50960,0,1019243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50961,0,1019263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50962,0,1019283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50963,0,1019303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50964,0,1019323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50965,0,1019343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50966,0,1019363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50967,0,1019383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50968,0,1019403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50969,0,1019423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50970,0,1019443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50971,0,1019463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50972,0,1019483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50973,0,1019503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50974,0,1019523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50975,0,1019543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50976,0,1019563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50977,0,1019583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50978,0,1019603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50979,0,1019623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50980,0,1019643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50981,0,1019663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50982,0,1019683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50983,0,1019703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50984,0,1019723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50985,0,1019743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50986,0,1019763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50987,0,1019783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50988,0,1019803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50989,0,1019823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50990,0,1019843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50991,0,1019863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50992,0,1019883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50993,0,1019903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50994,0,1019923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50995,0,1019943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50996,0,1019963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50997,0,1019983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50998,0,1020003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,50999,0,1020023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51000,0,1020043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51001,0,1020063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51002,0,1020083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51003,0,1020103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51004,0,1020123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51005,0,1020143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51006,0,1020163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51007,0,1020183,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51008,0,1020203,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51009,0,1020223,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51010,0,1020243,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51011,0,1020263,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51012,0,1020283,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51013,0,1020303,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51014,0,1020323,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51015,0,1020343,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51016,0,1020363,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51017,0,1020383,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51018,0,1020403,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51019,0,1020423,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51020,0,1020443,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51021,0,1020463,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51022,0,1020483,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51023,0,1020503,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51024,0,1020523,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51025,0,1020543,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51026,0,1020563,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51027,0,1020583,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51028,0,1020603,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51029,0,1020623,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51030,0,1020643,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51031,0,1020663,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51032,0,1020683,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51033,0,1020703,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51034,0,1020723,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51035,0,1020743,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51036,0,1020763,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51037,0,1020783,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51038,0,1020803,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51039,0,1020823,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51040,0,1020843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51041,0,1020863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51042,0,1020883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51043,0,1020903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51044,0,1020923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51045,0,1020943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51046,0,1020963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51047,0,1020983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51048,0,1021003,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51049,0,1021023,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51050,0,1021043,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51051,0,1021063,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51052,0,1021083,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51053,0,1021103,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51054,0,1021123,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51055,0,1021143,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51056,0,1021163,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,51057,0,1021183,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51058,0,1021203,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51059,0,1021223,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51060,0,1021243,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51061,0,1021263,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51062,0,1021283,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51063,0,1021303,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51064,0,1021323,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51065,0,1021343,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,51066,0,1021363,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51067,1,1021383,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51068,1,1021403,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51069,1,1021423,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51070,1,1021443,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51071,1,1021463,0,0.0,0
1048832,0,0,1,1,447100.0,0,3,2,51072,1,1021483,0,0.0,0
