event_bits,evt_cmd_reverse_trigger,evt_fn2_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,1,3,2,63093,0,1261903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63094,0,1261923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63095,0,1261943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63096,0,1261963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63097,0,1261983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63098,0,1262003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63099,0,1262023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63100,0,1262043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63101,0,1262063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63102,0,1262083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63103,0,1262103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63104,0,1262123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63105,0,1262143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63106,0,1262163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63107,0,1262183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63108,0,1262203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63109,0,1262223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63110,0,1262243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63111,0,1262263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63112,0,1262283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63113,0,1262303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63114,0,1262323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63115,0,1262343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63116,0,1262363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63117,0,1262383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63118,0,1262403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63119,0,1262423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63120,0,1262443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63121,0,1262463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63122,0,1262483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63123,0,1262503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63124,0,1262523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63125,0,1262543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63126,0,1262563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63127,0,1262583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63128,0,1262603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63129,0,1262623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63130,0,1262643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63131,0,1262663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63132,0,1262683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63133,0,1262703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63134,0,1262723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63135,0,1262743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63136,0,1262763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63137,0,1262783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63138,0,1262803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63139,0,1262823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63140,0,1262843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63141,0,1262863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63142,0,1262883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63143,0,1262903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63144,0,1262923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63145,0,1262943,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63146,0,1262963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63147,0,1262983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63148,0,1263003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63149,0,1263023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63150,0,1263043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63151,0,1263063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63152,0,1263083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63153,0,1263103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63154,0,1263123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63155,0,1263143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63156,0,1263163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63157,0,1263183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63158,0,1263203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63159,0,1263223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63160,0,1263243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63161,0,1263263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63162,0,1263283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63163,0,1263303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63164,0,1263323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63165,0,1263343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63166,0,1263363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63167,0,1263383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63168,0,1263403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63169,0,1263423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63170,0,1263443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63171,0,1263463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63172,0,1263483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63173,0,1263503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63174,0,1263523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63175,0,1263543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63176,0,1263563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63177,0,1263583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63178,0,1263603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63179,0,1263623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63180,0,1263643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63181,0,1263663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63182,0,1263683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63183,0,1263703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63184,0,1263723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63185,0,1263743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63186,0,1263763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63187,0,1263783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63188,0,1263803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63189,0,1263823,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63190,0,1263843,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63191,0,1263863,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63192,0,1263883,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63193,0,1263903,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63194,0,1263923,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63195,0,1263943,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63196,0,1263963,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63197,0,1263983,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63198,0,1264003,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63199,0,1264023,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63200,0,1264043,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63201,0,1264063,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63202,0,1264083,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63203,0,1264103,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63204,0,1264123,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63205,0,1264143,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63206,0,1264163,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63207,0,1264183,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63208,0,1264203,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63209,0,1264223,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63210,0,1264243,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63211,0,1264263,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63212,0,1264283,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63213,0,1264303,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63214,0,1264323,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63215,0,1264343,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63216,0,1264363,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63217,0,1264383,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63218,0,1264403,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63219,0,1264423,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63220,0,1264443,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63221,0,1264463,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63222,0,1264483,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63223,0,1264503,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63224,0,1264523,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63225,0,1264543,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63226,0,1264563,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63227,0,1264583,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63228,0,1264603,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63229,0,1264623,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63230,0,1264643,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63231,0,1264663,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63232,0,1264683,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63233,0,1264703,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63234,0,1264723,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63235,0,1264743,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63236,0,1264763,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63237,0,1264783,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63238,0,1264803,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63239,0,1264823,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63240,0,1264843,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63241,0,1264863,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63242,0,1264883,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63243,0,1264903,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63244,0,1264923,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63245,0,1264943,0,0.0,0
1049856,0,1,1,1,0.0,1,3,2,63246,0,1264963,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63247,0,1264983,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63248,0,1265003,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63249,0,1265023,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63250,0,1265043,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63251,0,1265063,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63252,0,1265083,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63253,0,1265103,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63254,0,1265123,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63255,0,1265143,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63256,0,1265163,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63257,0,1265183,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63258,0,1265203,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63259,0,1265223,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63260,0,1265243,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63261,0,1265263,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63262,0,1265283,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63263,0,1265303,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63264,0,1265323,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63265,0,1265343,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63266,0,1265363,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63267,0,1265383,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63268,0,1265403,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63269,0,1265423,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63270,0,1265443,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63271,0,1265463,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63272,0,1265483,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63273,0,1265503,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63274,0,1265523,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63275,0,1265543,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63276,0,1265563,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63277,0,1265583,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63278,0,1265603,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63279,0,1265623,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63280,0,1265643,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63281,0,1265663,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63282,0,1265683,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63283,0,1265703,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63284,0,1265723,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63285,0,1265743,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63286,0,1265763,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63287,0,1265783,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63288,0,1265803,0,0.0,0
1048832,0,0,1,1,0.0,1,3,2,63289,0,1265823,0,0.0,0
