event_bits,evt_pause_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,1,1,0.0,1,3,2,67783,0,1355703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67784,0,1355723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67785,0,1355743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67786,0,1355763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67787,0,1355783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67788,0,1355803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67789,0,1355823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67790,0,1355843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67791,0,1355863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67792,0,1355883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67793,0,1355903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67794,0,1355923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67795,0,1355943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67796,0,1355963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67797,0,1355983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67798,0,1356003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67799,0,1356023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67800,0,1356043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67801,0,1356063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67802,0,1356083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67803,0,1356103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67804,0,1356123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67805,0,1356143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67806,0,1356163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67807,0,1356183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67808,0,1356203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67809,0,1356223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67810,0,1356243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67811,0,1356263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67812,0,1356283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67813,0,1356303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67814,0,1356323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67815,0,1356343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67816,0,1356363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67817,0,1356383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67818,0,1356403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67819,0,1356423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67820,0,1356443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67821,0,1356463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67822,0,1356483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67823,0,1356503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67824,0,1356523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67825,0,1356543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67826,0,1356563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67827,0,1356583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67828,0,1356603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67829,0,1356623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67830,0,1356643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67831,0,1356663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67832,0,1356683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67833,0,1356703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67834,0,1356723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67835,0,1356743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67836,0,1356763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67837,0,1356783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67838,0,1356803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67839,0,1356823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67840,0,1356843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67841,0,1356863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67842,0,1356883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67843,0,1356903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67844,0,1356923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67845,0,1356943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67846,0,1356963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67847,0,1356983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67848,0,1357003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67849,0,1357023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67850,0,1357043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67851,0,1357063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67852,0,1357083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67853,0,1357103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67854,0,1357123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67855,0,1357143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67856,0,1357163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67857,0,1357183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67858,0,1357203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67859,0,1357223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67860,0,1357243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67861,0,1357263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67862,0,1357283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67863,0,1357303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67864,0,1357323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67865,0,1357343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67866,0,1357363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67867,0,1357383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67868,0,1357403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67869,0,1357423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67870,0,1357443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67871,0,1357463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67872,0,1357483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67873,0,1357503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67874,0,1357523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67875,0,1357543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67876,0,1357563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67877,0,1357583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67878,0,1357603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67879,0,1357623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67880,0,1357643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67881,0,1357663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67882,0,1357683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67883,0,1357703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67884,0,1357723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67885,0,1357743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67886,0,1357763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67887,0,1357783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67888,0,1357803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67889,0,1357823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67890,0,1357843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67891,0,1357863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67892,0,1357883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67893,0,1357903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67894,0,1357923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67895,0,1357943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67896,0,1357963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67897,0,1357983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67898,0,1358003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67899,0,1358023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67900,0,1358043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67901,0,1358063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67902,0,1358083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67903,0,1358103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67904,0,1358123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67905,0,1358143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67906,0,1358163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67907,0,1358183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67908,0,1358203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67909,0,1358223,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67910,0,1358243,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67911,0,1358263,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67912,0,1358283,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67913,0,1358303,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67914,0,1358323,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67915,0,1358343,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67916,0,1358363,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67917,0,1358383,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67918,0,1358403,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67919,0,1358423,0,0.0,0
1052928,1,1,1,0.0,1,3,2,67920,0,1358443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67921,0,1358463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67922,0,1358483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67923,0,1358503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67924,0,1358523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67925,0,1358543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67926,0,1358563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67927,0,1358583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67928,0,1358603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67929,0,1358623,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67930,0,1358643,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67931,0,1358663,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67932,0,1358683,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67933,0,1358703,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67934,0,1358723,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67935,0,1358743,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67936,0,1358763,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67937,0,1358783,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67938,0,1358803,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67939,0,1358823,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67940,0,1358843,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67941,0,1358863,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67942,0,1358883,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67943,0,1358903,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67944,0,1358923,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67945,0,1358943,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67946,0,1358963,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67947,0,1358983,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67948,0,1359003,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67949,0,1359023,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67950,0,1359043,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67951,0,1359063,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67952,0,1359083,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67953,0,1359103,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67954,0,1359123,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67955,0,1359143,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67956,0,1359163,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67957,0,1359183,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67958,0,1359203,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67959,0,1359223,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67960,0,1359243,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67961,0,1359263,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67962,0,1359283,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67963,0,1359303,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67964,0,1359323,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67965,0,1359343,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67966,0,1359363,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67967,0,1359383,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67968,0,1359403,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67969,0,1359423,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67970,0,1359443,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67971,0,1359463,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67972,0,1359483,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67973,0,1359503,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67974,0,1359523,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67975,0,1359543,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67976,0,1359563,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67977,0,1359583,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67978,0,1359603,0,0.0,0
1048832,0,1,1,0.0,1,3,2,67979,0,1359623,0,0.0,0
