evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd_set,vt03_toe
1,0,1,0,0,0.0,3,2,154793,3095903,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154794,3095923,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154795,3095943,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154796,3095963,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154797,3095983,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154798,3096003,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154799,3096023,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154800,3096043,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154801,3096063,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154802,3096083,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154803,3096103,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154804,3096123,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154805,3096143,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154806,3096163,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154807,3096183,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154808,3096203,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154809,3096223,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154810,3096243,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154811,3096263,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154812,3096283,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154813,3096303,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154814,3096323,0,27960368,27960356,0.0,0
1,0,1,2,0,0.0,3,2,154815,3096343,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154816,3096363,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154817,3096383,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154818,3096403,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154819,3096423,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154820,3096443,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154821,3096463,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154822,3096483,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154823,3096503,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154824,3096523,0,27960368,27960356,0.0,0
1,0,1,-3,0,0.0,3,2,154825,3096543,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154826,3096563,0,27960368,27960356,0.0,0
1,0,1,0,0,0.0,3,2,154827,3096583,0,27960368,27960356,0.0,0
1,0,1,96,-74,93400.0,3,2,154828,3096603,0,27960368,27960356,0.0,0
1,0,1,947,-877,93400.0,3,2,154829,3096623,0,27960368,27960356,0.0,0
1,0,1,1862,-1685,93400.0,3,2,154830,3096643,0,27960368,27960356,0.0,0
1,0,1,2676,-2623,93400.0,3,2,154831,3096663,0,27960368,27960356,0.0,0
1,0,1,3590,-3441,93400.0,3,2,154832,3096683,0,27960368,27960356,0.0,0
1,0,1,4415,-4282,93400.0,3,2,154833,3096703,0,27960368,27960356,0.0,0
1,0,1,5321,-5073,93400.0,3,2,154834,3096723,0,27960368,27960356,0.0,0
1,0,1,6127,-5948,93400.0,3,2,154835,3096743,0,27960368,27960356,0.0,0
1,0,1,7031,-6810,93400.0,3,2,154836,3096763,0,27960368,27960356,0.0,0
1,0,1,7765,-7570,93400.0,3,2,154837,3096783,0,27960368,27960356,0.0,0
1,0,1,8301,-8208,93400.0,3,2,154838,3096803,0,27960368,27960356,0.0,0
1,0,1,8648,-8649,93400.0,3,2,154839,3096823,0,27960368,27960356,0.0,0
1,0,1,8889,-8961,93400.0,3,2,154840,3096843,0,27960368,27960356,0.0,0
1,0,1,9042,-9179,93400.0,3,2,154841,3096863,0,27960368,27960356,0.0,0
1,0,1,9182,-9298,93400.0,3,2,154842,3096883,0,27960368,27960356,0.0,0
1,0,1,9245,-9405,93400.0,3,2,154843,3096903,0,27960368,27960356,0.0,0
1,0,1,9320,-9465,93400.0,3,2,154844,3096923,0,27960368,27960356,0.0,0
1,0,1,9333,-9497,93400.0,3,2,154845,3096943,0,27960368,27960356,0.0,0
1,0,1,9341,-9520,93400.0,3,2,154846,3096963,0,27960368,27960356,0.0,0
1,0,1,9372,-9591,93400.0,3,2,154847,3096983,0,27960368,27960356,0.0,0
1,0,1,9402,-9574,93400.0,3,2,154848,3097003,0,27960368,27960356,0.0,0
1,0,1,9412,-9587,93400.0,3,2,154849,3097023,0,27960368,27960356,0.0,0
1,0,1,9439,-9629,93400.0,3,2,154850,3097043,0,27960368,27960356,0.0,0
1,0,1,9441,-9610,93400.0,3,2,154851,3097063,0,27960368,27960356,0.0,0
1,0,1,9412,-9660,93400.0,3,2,154852,3097083,0,27960368,27960356,0.0,0
1,0,1,9414,-9608,93400.0,3,2,154853,3097103,0,27960368,27960356,0.0,0
1,0,1,9431,-9652,93400.0,3,2,154854,3097123,0,27960368,27960356,0.0,0
1,0,1,9437,-9614,93400.0,3,2,154855,3097143,0,27960368,27960356,0.0,0
1,0,1,9443,-9673,93400.0,3,2,154856,3097163,0,27960368,27960356,0.0,0
1,0,1,9450,-9633,93400.0,3,2,154857,3097183,0,27960368,27960356,0.0,0
1,0,1,9448,-9668,93400.0,3,2,154858,3097203,0,27960368,27960356,0.0,0
1,0,1,9454,-9620,93400.0,3,2,154859,3097223,0,27960368,27960356,0.0,0
1,0,1,9460,-9677,93400.0,3,2,154860,3097243,0,27960368,27960356,0.0,0
1,0,1,9471,-9639,93400.0,3,2,154861,3097263,0,27960368,27960356,0.0,0
1,0,1,9487,-9671,93400.0,3,2,154862,3097283,0,27960368,27960356,0.0,0
1,0,1,9479,-9616,93400.0,3,2,154863,3097303,0,27960368,27960356,0.0,0
1,0,1,9471,-9666,93400.0,3,2,154864,3097323,0,27960368,27960356,0.0,0
1,0,1,9458,-9645,93400.0,3,2,154865,3097343,0,27960368,27960356,0.0,0
1,0,1,9452,-9658,93400.0,3,2,154866,3097363,0,27960368,27960356,0.0,0
1,0,1,9441,-9624,93400.0,3,2,154867,3097383,0,27960368,27960356,0.0,0
1,0,1,9441,-9652,93400.0,3,2,154868,3097403,0,27960368,27960356,0.0,0
1,0,1,9450,-9656,93400.0,3,2,154869,3097423,0,27960368,27960356,0.0,0
1,0,1,9446,-9660,93400.0,3,2,154870,3097443,0,27960368,27960356,0.0,0
1,0,1,9450,-9645,93400.0,3,2,154871,3097463,0,27960368,27960356,0.0,0
1,0,1,9458,-9641,93400.0,3,2,154872,3097483,0,27960368,27960356,0.0,0
1,0,1,9469,-9660,93400.0,3,2,154873,3097503,0,27960368,27960356,0.0,0
1,0,1,9483,-9654,93400.0,3,2,154874,3097523,0,27960368,27960356,0.0,0
1,0,1,9483,-9654,93400.0,3,2,154875,3097543,0,27960368,27960356,0.0,0
1,0,1,9475,-9629,93400.0,3,2,154876,3097563,0,27960368,27960356,0.0,0
1,0,1,9464,-9662,93400.0,3,2,154877,3097583,0,27960368,27960356,0.0,0
1,0,1,9458,-9643,93400.0,3,2,154878,3097603,0,27960368,27960356,0.0,0
1,0,1,9450,-9677,93400.0,3,2,154879,3097623,0,27960368,27960356,0.0,0
1,0,1,9443,-9627,93400.0,3,2,154880,3097643,0,27960368,27960356,0.0,0
1,0,1,9443,-9666,93400.0,3,2,154881,3097663,0,27960368,27960356,0.0,0
1,0,1,9446,-9637,93400.0,3,2,154882,3097683,0,27960368,27960356,0.0,0
1,0,1,9446,-9677,93400.0,3,2,154883,3097703,0,27960368,27960356,0.0,0
1,0,1,9452,-9627,93400.0,3,2,154884,3097723,0,27960368,27960356,0.0,0
1,0,1,9464,-9666,93400.0,3,2,154885,3097743,0,27960368,27960356,0.0,0
1,0,1,9481,-9639,93400.0,3,2,154886,3097763,0,27960368,27960356,0.0,0
1,0,1,9487,-9671,93400.0,3,2,154887,3097783,0,27960368,27960356,0.0,0
1,0,1,9483,-9641,93400.0,3,2,154888,3097803,0,27960368,27960356,0.0,0
1,0,1,9469,-9660,93400.0,3,2,154889,3097823,0,27960368,27960356,0.0,0
1,0,1,9462,-9645,93400.0,3,2,154890,3097843,0,27960368,27960356,0.0,0
1,0,1,9450,-9660,93400.0,3,2,154891,3097863,0,27960368,27960356,0.0,0
1,0,1,9448,-9654,93400.0,3,2,154892,3097883,0,27960368,27960356,0.0,0
1,0,1,9448,-9647,93400.0,3,2,154893,3097903,0,27960368,27960356,0.0,0
1,0,1,9450,-9641,93400.0,3,2,154894,3097923,0,27960368,27960356,0.0,0
1,0,1,9450,-9643,93400.0,3,2,154895,3097943,0,27960368,27960356,0.0,0
1,0,1,9433,-9666,93400.0,3,2,154896,3097963,0,27960368,27960356,0.0,0
1,0,1,9458,-9650,93400.0,3,2,154897,3097983,0,27960368,27960356,0.0,0
1,0,1,9471,-9658,93400.0,3,2,154898,3098003,0,27960368,27960356,0.0,0
1,0,1,9483,-9622,93400.0,3,2,154899,3098023,0,27960368,27960356,0.0,0
1,0,1,9485,-9677,93400.0,3,2,154900,3098043,0,27960368,27960356,0.0,0
1,0,1,9471,-9637,93400.0,3,2,154901,3098063,0,27960368,27960356,0.0,0
1,0,1,9464,-9673,93400.0,3,2,154902,3098083,0,27960368,27960356,0.0,0
1,0,1,9452,-9622,93400.0,3,2,154903,3098103,0,27960368,27960356,0.0,0
1,0,1,9450,-9675,93400.0,3,2,154904,3098123,0,27960368,27960356,0.0,0
1,0,1,9452,-9637,93400.0,3,2,154905,3098143,0,27960368,27960356,0.0,0
1,0,1,9452,-9671,93400.0,3,2,154906,3098163,0,27960368,27960356,0.0,0
1,0,1,9448,-9616,93400.0,3,2,154907,3098183,0,27960368,27960356,0.0,0
1,0,1,9433,-9662,93400.0,3,2,154908,3098203,0,27960368,27960356,0.0,0
1,0,1,9437,-9631,93400.0,3,2,154909,3098223,0,27960368,27960356,0.0,0
1,0,1,9454,-9675,93400.0,3,2,154910,3098243,0,27960368,27960356,0.0,0
1,0,1,9467,-9622,93400.0,3,2,154911,3098263,0,27960368,27960356,0.0,0
1,0,1,9487,-9662,93400.0,3,2,154912,3098283,0,27960368,27960356,0.0,0
1,0,1,9475,-9624,93400.0,3,2,154913,3098303,0,27960368,27960356,0.0,0
1,0,1,9469,-9671,93400.0,3,2,154914,3098323,0,27960368,27960356,0.0,0
1,0,1,9452,-9637,93400.0,3,2,154915,3098343,0,27960368,27960356,0.0,0
1,0,1,9450,-9645,93400.0,3,2,154916,3098363,0,27960368,27960356,0.0,0
1,0,1,9454,-9652,93400.0,3,2,154917,3098383,0,27960368,27960356,0.0,0
1,0,1,9452,-9654,93400.0,3,2,154918,3098403,0,27960368,27960356,0.0,0
1,0,1,9452,-9647,93400.0,3,2,154919,3098423,0,27960368,27960356,0.0,0
1,0,1,9433,-9633,93400.0,3,2,154920,3098443,0,27960368,27960356,0.0,0
1,0,1,9435,-9652,93400.0,3,2,154921,3098463,0,27960368,27960356,0.0,0
1,0,1,9450,-9654,93400.0,3,2,154922,3098483,0,27960368,27960356,0.0,0
1,0,1,9464,-9662,93400.0,3,2,154923,3098503,0,27960368,27960356,0.0,0
1,0,1,9481,-9635,93400.0,3,2,154924,3098523,0,27960368,27960356,0.0,0
1,0,1,9487,-9647,93400.0,3,2,154925,3098543,0,27960368,27960356,0.0,0
1,0,1,9477,-9635,93400.0,3,2,154926,3098563,0,27960368,27960356,0.0,0
1,0,1,9471,-9677,93400.0,3,2,154927,3098583,0,27960368,27960356,0.0,0
1,0,1,9456,-9645,93400.0,3,2,154928,3098603,0,27960368,27960356,0.0,0
1,0,1,9458,-9664,93400.0,3,2,154929,3098623,0,27960368,27960356,0.0,0
1,0,1,9452,-9627,93400.0,3,2,154930,3098643,0,27960368,27960356,0.0,0
1,0,1,9452,-9677,93400.0,3,2,154931,3098663,0,27960368,27960356,0.0,0
1,0,1,9433,-9633,93400.0,3,2,154932,3098683,0,27960368,27960356,0.0,0
1,0,1,9433,-9668,93400.0,3,2,154933,3098703,0,27960368,27960356,0.0,0
1,0,1,9448,-9624,93400.0,3,2,154934,3098723,0,27960368,27960356,0.0,0
1,0,1,9460,-9675,93400.0,3,2,154935,3098743,0,27960368,27960356,0.0,0
1,0,1,9477,-9637,93400.0,3,2,154936,3098763,0,27960368,27960356,0.0,0
1,0,1,9483,-9664,93400.0,3,2,154937,3098783,0,27960368,27960356,0.0,0
1,0,1,9475,-9620,93400.0,3,2,154938,3098803,0,27960368,27960356,0.0,0
1,0,1,9475,-9658,93400.0,3,2,154939,3098823,0,27960368,27960356,0.0,0
1,0,1,9458,-9641,93400.0,3,2,154940,3098843,0,27960368,27960356,0.0,0
1,0,1,9458,-9666,93400.0,3,2,154941,3098863,0,27960368,27960356,0.0,0
1,0,1,9469,-9633,93400.0,3,2,154942,3098883,0,27960368,27960356,0.0,0
1,0,1,9456,-9639,93400.0,3,2,154943,3098903,0,27960368,27960356,0.0,0
1,0,1,9454,-9668,93400.0,3,2,154944,3098923,0,27960368,27960356,0.0,0
1,0,1,9433,-9650,93400.0,3,2,154945,3098943,0,27960368,27960356,0.0,0
1,0,1,9443,-9641,93400.0,3,2,154946,3098963,0,27960368,27960356,0.0,0
1,0,1,9458,-9631,93400.0,3,2,154947,3098983,0,27960368,27960356,0.0,0
1,0,1,9473,-9671,93400.0,3,2,154948,3099003,0,27960368,27960356,0.0,0
1,0,1,9481,-9647,93400.0,3,2,154949,3099023,0,27960368,27960356,0.0,0
1,0,1,9471,-9660,93400.0,3,2,154950,3099043,0,27960368,27960356,0.0,0
1,0,1,9473,-9616,93400.0,3,2,154951,3099063,0,27960368,27960356,0.0,0
1,0,1,9460,-9662,93400.0,3,2,154952,3099083,0,27960368,27960356,0.0,0
1,0,1,9460,-9635,93400.0,3,2,154953,3099103,0,27960368,27960356,0.0,0
1,0,1,9471,-9677,93400.0,3,2,154954,3099123,0,27960368,27960356,0.0,0
1,0,1,9456,-9620,93400.0,3,2,154955,3099143,0,27960368,27960356,0.0,0
1,0,1,9448,-9652,93400.0,3,2,154956,3099163,0,27960368,27960356,0.0,0
1,0,1,9429,-9620,93400.0,3,2,154957,3099183,0,27960368,27960356,0.0,0
1,0,1,9420,-9677,93400.0,3,2,154958,3099203,0,27960368,27960356,0.0,0
1,0,1,9439,-9620,93400.0,3,2,154959,3099223,0,27960368,27960356,0.0,0
1,0,1,9450,-9662,93400.0,3,2,154960,3099243,0,27960368,27960356,0.0,0
1,0,1,9473,-9624,93400.0,3,2,154961,3099263,0,27960368,27960356,0.0,0
1,0,1,9464,-9677,93400.0,3,2,154962,3099283,0,27960368,27960356,0.0,0
1,0,1,9467,-9635,93400.0,3,2,154963,3099303,0,27960368,27960356,0.0,0
1,0,1,9464,-9664,93400.0,3,2,154964,3099323,0,27960368,27960356,0.0,0
1,0,1,9467,-9635,93400.0,3,2,154965,3099343,0,27960368,27960356,0.0,0
1,0,1,9481,-9664,93400.0,3,2,154966,3099363,0,27960368,27960356,0.0,0
1,0,1,9464,-9641,93400.0,3,2,154967,3099383,0,27960368,27960356,0.0,0
1,0,1,9452,-9658,93400.0,3,2,154968,3099403,0,27960368,27960356,0.0,0
1,0,1,9435,-9627,93400.0,3,2,154969,3099423,0,27960368,27960356,0.0,0
1,0,1,9429,-9652,93400.0,3,2,154970,3099443,0,27960368,27960356,0.0,0
1,0,1,9439,-9652,93400.0,3,2,154971,3099463,0,27960368,27960356,0.0,0
1,0,1,9443,-9662,93400.0,3,2,154972,3099483,0,27960368,27960356,0.0,0
1,0,1,9448,-9641,93400.0,3,2,154973,3099503,0,27960368,27960356,0.0,0
1,0,1,9456,-9631,93400.0,3,2,154974,3099523,0,27960368,27960356,0.0,0
1,0,1,9462,-9658,93400.0,3,2,154975,3099543,0,27960368,27960356,0.0,0
1,0,1,9462,-9652,93400.0,3,2,154976,3099563,0,27960368,27960356,0.0,0
1,0,1,9473,-9666,93400.0,3,2,154977,3099583,0,27960368,27960356,0.0,0
1,0,1,9487,-9624,93400.0,3,2,154978,3099603,0,27960368,27960356,0.0,0
1,0,1,9475,-9677,93400.0,3,2,154979,3099623,0,27960368,27960356,0.0,0
1,0,1,9462,-9643,93400.0,3,2,154980,3099643,0,27960368,27960356,0.0,0
1,0,1,9450,-9666,93400.0,3,2,154981,3099663,0,27960368,27960356,0.0,0
1,0,1,9446,-9610,93400.0,3,2,154982,3099683,0,27960368,27960356,0.0,0
1,0,1,9443,-9662,93400.0,3,2,154983,3099703,0,27960368,27960356,0.0,0
1,0,1,9441,-9633,93400.0,3,2,154984,3099723,0,27960368,27960356,0.0,0
1,0,1,9441,-9677,93400.0,3,2,154985,3099743,0,27960368,27960356,0.0,0
1,0,1,9450,-9620,93400.0,3,2,154986,3099763,0,27960368,27960356,0.0,0
1,0,1,9446,-9662,93400.0,3,2,154987,3099783,0,27960368,27960356,0.0,0
1,0,1,9448,-9620,93400.0,3,2,154988,3099803,0,27960368,27960356,0.0,0
1,0,1,9469,-9673,93400.0,3,2,154989,3099823,0,27960368,27960356,0.0,0
1,0,1,9483,-9637,93400.0,3,2,154990,3099843,0,27960368,27960356,0.0,0
1,0,1,9479,-9660,93400.0,3,2,154991,3099863,0,27960368,27960356,0.0,0
1,0,1,9473,-9637,93400.0,3,2,154992,3099883,0,27960368,27960356,0.0,0
1,0,1,9462,-9664,93400.0,3,2,154993,3099903,0,27960368,27960356,0.0,0
1,0,1,9456,-9635,93400.0,3,2,154994,3099923,0,27960368,27960356,0.0,0
1,0,1,9448,-9656,93400.0,3,2,154995,3099943,0,27960368,27960356,0.0,0
1,0,1,9441,-9643,93400.0,3,2,154996,3099963,0,27960368,27960356,0.0,0
1,0,1,9446,-9662,93400.0,3,2,154997,3099983,0,27960368,27960356,0.0,0
1,0,1,9446,-9650,93400.0,3,2,154998,3100003,0,27960368,27960356,0.0,0
1,0,1,9446,-9652,93400.0,3,2,154999,3100023,0,27960368,27960356,0.0,0
1,0,1,9433,-9635,93400.0,3,2,155000,3100043,0,27960368,27960356,0.0,0
1,0,1,9439,-9645,93400.0,3,2,155001,3100063,0,27960368,27960356,0.0,0
1,0,1,9450,-9660,93400.0,3,2,155002,3100083,0,27960368,27960356,0.0,0
1,0,1,9467,-9652,93400.0,3,2,155003,3100103,0,27960368,27960356,0.0,0
1,0,1,9485,-9650,93400.0,3,2,155004,3100123,0,27960368,27960356,0.0,0
1,0,1,9471,-9637,93400.0,3,2,155005,3100143,0,27960368,27960356,0.0,0
1,0,1,9467,-9666,93400.0,3,2,155006,3100163,0,27960368,27960356,0.0,0
1,0,1,9452,-9637,93400.0,3,2,155007,3100183,0,27960368,27960356,0.0,0
1,0,1,9450,-9671,93400.0,3,2,155008,3100203,0,27960368,27960356,0.0,0
1,0,1,9456,-9622,93400.0,3,2,155009,3100223,0,27960368,27960356,0.0,0
1,1,1,9450,-9679,93400.0,3,2,155010,3100243,0,27960368,27960356,0.0,0
1,1,1,9448,-9637,93400.0,3,2,155011,3100263,0,27960368,27960356,0.0,0
1,1,1,9429,-9671,93400.0,3,2,155012,3100283,0,27960368,27960356,0.0,0
1,1,1,9427,-9616,93400.0,3,2,155013,3100303,0,27960368,27960356,0.0,0
1,1,1,9441,-9664,93400.0,3,2,155014,3100323,0,27960368,27960356,0.0,0
1,1,1,9454,-9633,93400.0,3,2,155015,3100343,0,27960368,27960356,0.0,0
1,1,1,9471,-9673,93400.0,3,2,155016,3100363,0,27960368,27960356,0.0,0
1,1,1,9477,-9622,93400.0,3,2,155017,3100383,0,27960368,27960356,0.0,0
1,1,1,9467,-9660,93400.0,3,2,155018,3100403,0,27960368,27960356,0.0,0
1,0,1,9456,-9627,93400.0,3,2,155019,3100423,0,27960368,27960356,0.0,0
1,0,1,9458,-9671,93400.0,3,2,155020,3100443,0,27960368,27960356,0.0,0
1,0,1,9471,-9633,93400.0,3,2,155021,3100463,0,27960368,27960356,0.0,0
1,0,1,9456,-9645,93400.0,3,2,155022,3100483,0,27960368,27960356,0.0,0
1,0,1,9448,-9656,93400.0,3,2,155023,3100503,0,27960368,27960356,0.0,0
1,0,1,9429,-9658,93400.0,3,2,155024,3100523,0,27960368,27960356,0.0,0
1,0,1,9423,-9647,93400.0,3,2,155025,3100543,0,27960368,27960356,0.0,0
1,0,1,9435,-9637,93400.0,3,2,155026,3100563,0,27960368,27960356,0.0,0
1,0,1,9443,-9654,93400.0,3,2,155027,3100583,0,27960368,27960356,0.0,0
1,0,1,9450,-9652,93400.0,3,2,155028,3100603,0,27960368,27960356,0.0,0
1,0,1,9460,-9666,93400.0,3,2,155029,3100623,0,27960368,27960356,0.0,0
1,0,1,9454,-9633,93400.0,3,2,155030,3100643,0,27960368,27960356,0.0,0
1,0,1,9460,-9650,93400.0,3,2,155031,3100663,0,27960368,27960356,0.0,0
1,0,1,9464,-9631,93400.0,3,2,155032,3100683,0,27960368,27960356,0.0,0
1,0,1,9471,-9677,93400.0,3,2,155033,3100703,0,27960368,27960356,0.0,0
1,0,1,9471,-9641,93400.0,3,2,155034,3100723,0,27960368,27960356,0.0,0
